GeneSymbol	Cluster	Efect Size
TOX	c11_Tex_GZMK	0.53 
TSC22D1	c11_Tex_GZMK	0.41 
PRDM1	c11_Tex_GZMK	0.34 
TRPS1	c11_Tex_GZMK	0.32 
EOMES	c11_Tex_GZMK	0.30 
BATF	c11_Tex_GZMK	0.29 
IFI16	c11_Tex_GZMK	0.29 
ETV1	c11_Tex_GZMK	0.28 
SUB1	c11_Tex_GZMK	0.27 
TOX2	c11_Tex_GZMK	0.26 
TSHZ2	c11_Tex_GZMK	0.25 
ARID5B	c11_Tex_GZMK	0.24 
CREM	c11_Tex_GZMK	0.24 
IKZF3	c11_Tex_GZMK	0.23 
ZBED2	c11_Tex_GZMK	0.23 
ZBTB32	c11_Tex_GZMK	0.23 
ZNF331	c11_Tex_GZMK	0.22 
ETS1	c11_Tex_GZMK	0.22 
ARID4B	c11_Tex_GZMK	0.21 
ZBTB38	c11_Tex_GZMK	0.20 
PTTG1	c11_Tex_GZMK	0.20 
ELF1	c11_Tex_GZMK	0.18 
SETBP1	c11_Tex_GZMK	0.17 
CASZ1	c11_Tex_GZMK	0.17 
CARHSP1	c11_Tex_GZMK	0.17 
DRAP1	c11_Tex_GZMK	0.17 
NR4A2	c11_Tex_GZMK	0.16 
NR5A2	c11_Tex_GZMK	0.16 
IKZF2	c11_Tex_GZMK	0.15 
ZNF79	c11_Tex_GZMK	0.15 
RBPJ	c12_Tex-terminal	0.84 
ETV1	c12_Tex-terminal	0.80 
TOX	c12_Tex-terminal	0.76 
ZBED2	c12_Tex-terminal	0.73 
TOX2	c12_Tex-terminal	0.63 
VDR	c12_Tex-terminal	0.59 
SOX4	c12_Tex-terminal	0.54 
ID3	c12_Tex-terminal	0.53 
BATF	c12_Tex-terminal	0.50 
IKZF4	c12_Tex-terminal	0.47 
PRDM1	c12_Tex-terminal	0.46 
TSHZ2	c12_Tex-terminal	0.43 
STAT3	c12_Tex-terminal	0.41 
CREM	c12_Tex-terminal	0.35 
PTTG1	c12_Tex-terminal	0.35 
NR5A2	c12_Tex-terminal	0.35 
BARX2	c12_Tex-terminal	0.34 
CTNNB1	c12_Tex-terminal	0.34 
FOXP3	c12_Tex-terminal	0.33 
ZNF282	c12_Tex-terminal	0.33 
IFI16	c12_Tex-terminal	0.33 
ID2	c12_Tex-terminal	0.32 
BHLHE40	c12_Tex-terminal	0.32 
ZBTB32	c12_Tex-terminal	0.32 
GATA3	c12_Tex-terminal	0.31 
ZFHX3	c12_Tex-terminal	0.31 
ARID5B	c12_Tex-terminal	0.30 
NR3C1	c12_Tex-terminal	0.30 
ENO1	c12_Tex-terminal	0.30 
TGIF1	c12_Tex-terminal	0.29 
KDM5B	c12_Tex-terminal	0.29 
PLAGL1	c12_Tex-terminal	0.29 
TRPS1	c12_Tex-terminal	0.28 
TP73	c12_Tex-terminal	0.28 
IKZF3	c12_Tex-terminal	0.27 
HNRNPK	c12_Tex-terminal	0.27 
RUNX2	c12_Tex-terminal	0.27 
PLSCR1	c12_Tex-terminal	0.27 
ZBTB1	c12_Tex-terminal	0.26 
CARHSP1	c12_Tex-terminal	0.26 
TSC22D1	c12_Tex-terminal	0.25 
DNMT3A	c12_Tex-terminal	0.25 
EZH2	c12_Tex-terminal	0.25 
HIVEP1	c12_Tex-terminal	0.25 
AHR	c12_Tex-terminal	0.24 
KLF7	c12_Tex-terminal	0.24 
MEF2A	c12_Tex-terminal	0.24 
HIF1A	c12_Tex-terminal	0.24 
IRF4	c12_Tex-terminal	0.22 
RELB	c12_Tex-terminal	0.22 
ARNT	c12_Tex-terminal	0.22 
ZFP36L1	c12_Tex-terminal	0.22 
BACH1	c12_Tex-terminal	0.22 
NFAT5	c12_Tex-terminal	0.22 
ETV7	c12_Tex-terminal	0.22 
ZNF79	c12_Tex-terminal	0.22 
CERS6	c12_Tex-terminal	0.21 
ETS1	c12_Tex-terminal	0.21 
ZEB2	c12_Tex-terminal	0.21 
NFKB2	c12_Tex-terminal	0.21 
JARID2	c12_Tex-terminal	0.21 
MIS18BP1	c12_Tex-terminal	0.21 
IKZF2	c12_Tex-terminal	0.20 
GTF2I	c12_Tex-terminal	0.20 
PRDM5	c12_Tex-terminal	0.20 
RCAN1	c12_Tex-terminal	0.20 
DRAP1	c12_Tex-terminal	0.20 
CREB3L2	c12_Tex-terminal	0.20 
SCAND1	c12_Tex-terminal	0.20 
NONO	c12_Tex-terminal	0.19 
PARP1	c12_Tex-terminal	0.19 
IRF8	c12_Tex-terminal	0.19 
PHF6	c12_Tex-terminal	0.19 
ZEB1	c12_Tex-terminal	0.19 
NFIL3	c12_Tex-terminal	0.19 
RFX5	c12_Tex-terminal	0.19 
IRF5	c12_Tex-terminal	0.19 
SMARCE1	c12_Tex-terminal	0.18 
IRF2	c12_Tex-terminal	0.18 
POU2F2	c12_Tex-terminal	0.18 
WDHD1	c12_Tex-terminal	0.18 
SP140	c12_Tex-terminal	0.18 
CREBZF	c12_Tex-terminal	0.18 
GFI1	c12_Tex-terminal	0.18 
SUB1	c12_Tex-terminal	0.18 
MYB	c12_Tex-terminal	0.17 
EGR2	c12_Tex-terminal	0.17 
YEATS4	c12_Tex-terminal	0.17 
PHF19	c12_Tex-terminal	0.16 
NOTCH1	c12_Tex-terminal	0.16 
NR4A2	c12_Tex-terminal	0.16 
RFX2	c12_Tex-terminal	0.16 
NUCKS1	c12_Tex-terminal	0.15 
SFPQ	c12_Tex-terminal	0.15 
PRDM1	c13_Tex_OXPHOS	0.34 
BATF	c13_Tex_OXPHOS	0.26 
TOX	c13_Tex_OXPHOS	0.24 
ETV1	c13_Tex_OXPHOS	0.15 
TCF7	c14_Tex_TCF7	0.86 
NR3C1	c14_Tex_TCF7	0.73 
TOX	c14_Tex_TCF7	0.72 
BATF	c14_Tex_TCF7	0.49 
